area,transect.ID,plot.ID,tree,common.name,scientific.name,family.name,type,DBH.2013,canopy.2013,light.2013,dead.2013,D.class.2013,Hcom.2013,Htot.2013,RN.2013,RS.2013,RE.2013,RW.2013,date.2013,DBH.2018,Htot.2018,dead.2018,date.2018,UTM.Easting,UTM.Northing
AND_A01,T1P1,1,1,morta,NA,NA,O,13,NA,NA,TRUE,2,NA,7.9,NA,NA,NA,NA,20130822,NA,NA,TRUE,20180321,296471.6252,9718217.154
AND_A01,T1P1,1,2,morta,NA,NA,O,21,NA,NA,TRUE,2,NA,6,NA,NA,NA,NA,20130822,NA,NA,TRUE,20180321,296474.207,9718214.32
AND_A01,T1P1,1,3,envira preta,Guatteria schomburgkiana,Annonaceae,O,11.6,S,1,FALSE,NA,3.17,5.45,1.1,1,0.8,1,20130822,NA,NA,TRUE,20180321,296475.731,9718211.616
AND_A01,T1P1,1,4,iperana,Eperua bijuga,Fabaceae,O,142,S,1,FALSE,NA,6.21,10.56,1.4,2.3,1.8,2.2,20130822,NA,NA,TRUE,20180321,296473.7785,9718209.724
AND_A01,T1P1,1,5,morta,NA,NA,O,15.3,NA,NA,TRUE,2,NA,7.16,NA,NA,NA,NA,20130822,NA,NA,TRUE,20180321,296478.0885,9718208.032
AND_A01,T1P1,1,6,jatereu,Lecythis idatimon,Lecythidaceae,O,41.5,E,1,FALSE,NA,16.49,26.11,2,2.2,1.7,1.6,20130822,NA,NA,TRUE,20180321,296481.0013,9718202.683
AND_A01,T1P1,1,7,açai,Euterpe oleracea,Arecaceae,P,11.6,E,1,FALSE,NA,NA,5.22,NA,NA,NA,NA,20130822,NA,NA,TRUE,20180321,296481.084,9718202.495
AND_A01,T1P1,1,8,lacre,Vismia guianensis,Clusiaceae,O,10.6,E,1,FALSE,NA,3.71,7.5,1.5,2.1,1.7,2.3,20130822,NA,NA,TRUE,20180321,296477.6213,9718200.98
AND_A01,T1P1,1,9,morta,NA,NA,O,18.1,NA,NA,TRUE,3,NA,2.46,NA,NA,NA,NA,20130822,NA,NA,TRUE,20180321,296481.5953,9718192.956
AND_A01,T1P1,1,10,tachi branco,Tachigali paniculata,Fabaceae,O,57,E,1,FALSE,NA,26.28,38.55,2.6,6.4,5.2,6.7,20130822,NA,NA,TRUE,20180321,296488.315,9718186.836
AND_A01,T1P1,1,11,maravuvuia,Croton matourensis,Euphorbiaceae,O,10.8,S,1,FALSE,NA,7.69,10.57,1.6,1,1.2,1.8,20130822,NA,NA,TRUE,20180321,296488.3847,9718177.767
AND_A01,T1P1,1,12,morta,NA,NA,O,11.5,NA,NA,TRUE,3,NA,3.59,NA,NA,NA,NA,20130822,NA,NA,TRUE,20180321,296491.8467,9718178.307
