area,plot,tree,common.name,scientific.name,family.name,DBH,type,Dead,D.class,Htotc,date,UTM.Easting,UTM.Northing
DUC_A01,2,001a,macucu,Licania guianensis,Chrysobalanaceae,49.6,O,FALSE,NA,29.04453435,20160824,-2.943539052,-59.94080937
DUC_A01,2,001b,uxirana,Sacoglottis guianensis,Humiriaceae,43.6,O,FALSE,NA,27.02084454,20160824,-2.94356803,-59.94106181
DUC_A01,2,002a,mapatirana,Pourouma minor,Urticaceae,31.5,O,FALSE,NA,22.41830092,20160824,-2.943541712,-59.94081504
DUC_A01,2,002b,abiurana,Pouteria gongrijpii,Sapotaceae,39.2,O,FALSE,NA,25.43683946,20160824,-2.94362256,-59.94096717
DUC_A01,2,003a,roxinho,Peltogyne lecointei,Fabaceae,10,O,FALSE,NA,11.15252146,20160824,-2.94353624,-59.94082183
DUC_A01,2,003b,morta,NA,NA,47.5,O,TRUE,3,28.35274916,20160824,-2.943684742,-59.94097498
DUC_A01,2,004a,breu branco,Protium paniculatum,Burseraceae,10.4,O,FALSE,NA,11.43040018,20160824,-2.943529507,-59.94085807
DUC_A01,2,004b,mandioqueira,Qualea paraensis,Vochysiaceae,91.1,O,FALSE,NA,40.12656165,20160824,-2.943710721,-59.94101056
DUC_A01,2,005a,breu branco,Protium paniculatum,Burseraceae,12.6,O,FALSE,NA,12.88507546,20160824,-2.943578954,-59.94083236
DUC_A01,2,005b,merauba,Mouriri collocarpa,Melastomataceae,39.6,O,FALSE,NA,25.58469639,20160824,-2.943710549,-59.94103993
DUC_A01,2,006a,matamata preto,Eschweilera ovata,Lecythidaceae,10.1,O,FALSE,NA,11.22241686,20160824,-2.943600546,-59.94082317
DUC_A01,2,006b,tamaguare,NA,NA,49.4,O,FALSE,NA,28.97937639,20160824,-2.943704327,-59.94106295
DUC_A01,2,007a,guajara branco,Pouteria sp.,Sapotaceae,43.8,O,FALSE,NA,27.09072108,20160824,-2.943661306,-59.9407891
DUC_A01,2,007b,tento,Ormosia coccinea,Fabaceae,58,O,FALSE,NA,31.6546541,20160824,-2.943753545,-59.94091431
DUC_A01,2,008a,louro preto,Ocotea cernua,Lauraceae,10.1,O,FALSE,NA,11.22241686,20160824,-2.943670486,-59.94078564
DUC_A01,2,008b,mandioqueira,Qualea paraensis,Vochysiaceae,52,O,FALSE,NA,29.81495879,20160824,-2.943907331,-59.94099955
DUC_A01,2,009a,iperana,Eperua bijuga,Fabaceae,33.7,O,FALSE,NA,23.31657293,20160824,-2.943669032,-59.94076827
